,CustomerId,Balance,NumOfProducts,HasCrCard,Tenure_x,IsActiveMember,Exited,CreditScore,Geography,Gender,Age,EstimatedSalary,Age Group,Tenure Group,Salary Group,Balance Group,Credit score Group
57,15647091,75888,1,0,0,0,0,725,Germany,Male,19,45613,Student,Short term cust,low earner,low balance,High score
58,15623944,0,1,0,4,0,1,511,Spain,Female,66,1643,Retired,Short term cust,low earner,Very low balance,Good score
59,15804771,40685,1,1,4,1,0,614,France,Male,51,46775,Working class,Short term cust,low earner,Very low balance,Good score
60,15651280,136857,1,0,5,0,0,742,Germany,Male,35,84509,Working class,Short term cust,Fair earner,low balance,High score
61,15773469,152328,2,0,9,0,0,687,Germany,Female,27,126494,Student,Long term cust,High earner,Fair balance,High score
62,15702014,56084,2,0,1,0,0,555,Spain,Male,33,178798,Working class,Short term cust,High earner,low balance,Good score
63,15751208,78707,1,1,8,1,0,684,Spain,Male,56,99398,Working class,Long term cust,Fair earner,low balance,High score
64,15592461,109166,1,1,4,1,0,603,Germany,Male,26,92840,Student,Short term cust,Fair earner,low balance,Good score
65,15789484,169831,2,1,6,1,0,751,Germany,Female,36,27758,Working class,Long term cust,low earner,Fair balance,High score
66,15696061,101633,1,0,1,0,0,581,Germany,Female,34,110431,Working class,Short term cust,High earner,low balance,Good score
67,15641582,123180,2,1,10,1,0,735,Germany,Male,43,196673,Working class,Long term cust,High earner,low balance,High score
68,15638424,150725,2,1,5,1,0,661,Germany,Female,35,113656,Working class,Short term cust,High earner,low balance,High score
69,15755648,98373,1,0,8,0,0,675,France,Female,21,18203,Student,Long term cust,low earner,low balance,High score
70,15703793,133745,4,0,2,0,1,738,Germany,Male,58,28373,Working class,Short term cust,low earner,low balance,High score
71,15620344,0,1,0,6,0,0,813,France,Male,29,33953,Student,Long term cust,low earner,Very low balance,High score
72,15812518,163607,1,1,0,1,0,657,Spain,Female,37,44203,Working class,Short term cust,low earner,Fair balance,High score
73,15779052,157780,2,1,5,1,0,604,Germany,Female,25,58426,Student,Short term cust,Fair earner,Fair balance,Good score
74,15770811,0,2,1,9,1,0,519,France,Male,36,145562,Working class,Long term cust,High earner,Very low balance,Good score
75,15780961,178718,2,0,1,0,0,735,France,Female,21,22388,Student,Short term cust,low earner,Fair balance,High score
76,15614049,0,2,1,8,1,0,664,France,Male,55,139161,Working class,Long term cust,High earner,Very low balance,High score
77,15662085,0,1,1,9,1,0,678,France,Female,32,148210,Working class,Long term cust,High earner,Very low balance,High score
78,15575185,77253,1,1,5,1,0,757,Spain,Male,33,194239,Working class,Short term cust,High earner,low balance,High score
79,15803136,122189,2,0,10,0,0,416,Germany,Female,41,98301,Working class,Long term cust,Fair earner,low balance,low score
80,15706021,96645,2,0,1,0,0,665,France,Female,34,171413,Working class,Short term cust,High earner,low balance,High score
81,15663706,0,1,0,2,0,1,777,France,Female,32,136458,Working class,Short term cust,High earner,Very low balance,High score
82,15641732,0,2,0,3,0,0,543,France,Female,36,26019,Working class,Short term cust,low earner,Very low balance,Good score
83,15701164,90307,1,1,4,1,0,506,France,Female,34,159235,Working class,Short term cust,High earner,low balance,Good score
84,15738751,0,2,0,4,0,0,493,France,Female,46,1907,Working class,Short term cust,low earner,Very low balance,Good score
85,15805254,0,2,1,10,1,0,652,Spain,Female,75,114675,Retired,Long term cust,High earner,Very low balance,High score
86,15762418,121681,1,0,3,0,1,750,Spain,Male,22,128643,Student,Short term cust,High earner,low balance,High score
87,15625759,0,2,0,9,0,0,729,France,Male,30,151869,Working class,Long term cust,High earner,Very low balance,High score
88,15622897,0,3,0,4,0,1,646,France,Female,46,93251,Working class,Short term cust,Fair earner,Very low balance,Good score
89,15767954,81623,2,1,3,1,0,635,Germany,Female,28,156791,Student,Short term cust,High earner,low balance,Good score
90,15757535,0,3,1,5,1,1,647,Spain,Female,44,174205,Working class,Short term cust,High earner,Very low balance,Good score
91,15731511,118626,2,0,7,0,0,808,France,Male,45,147132,Working class,Long term cust,High earner,low balance,High score
92,15809248,0,2,0,10,0,0,524,France,Female,36,109614,Working class,Long term cust,High earner,Very low balance,Good score
93,15640635,0,2,1,8,1,0,769,France,Male,29,172290,Student,Long term cust,High earner,Very low balance,High score
94,15676966,0,2,1,4,1,0,730,Spain,Male,42,85982,Working class,Short term cust,Fair earner,Very low balance,High score
95,15699461,176273,1,1,10,1,0,515,Spain,Male,35,121277,Working class,Long term cust,High earner,Fair balance,Good score
96,15738721,102827,1,1,9,1,0,773,Spain,Male,41,64595,Working class,Long term cust,Fair earner,low balance,High score
97,15693683,97086,2,1,8,1,0,814,Germany,Male,29,197276,Student,Long term cust,High earner,low balance,High score
98,15604348,0,2,0,8,0,0,710,Spain,Male,22,99645,Student,Long term cust,Fair earner,Very low balance,High score
99,15633059,0,2,0,9,0,0,413,France,Male,34,6534,Working class,Long term cust,low earner,Very low balance,low score
100,15808582,0,1,1,6,1,0,665,France,Female,40,161848,Working class,Long term cust,High earner,Very low balance,High score
101,15743192,0,2,0,6,0,0,623,France,Female,44,167162,Working class,Long term cust,High earner,Very low balance,Good score
102,15580146,82674,1,0,9,0,0,738,France,Male,31,41970,Working class,Long term cust,low earner,low balance,High score
103,15776605,0,2,0,7,0,0,528,Spain,Male,36,60536,Working class,Long term cust,Fair earner,Very low balance,Good score
104,15804919,0,1,1,1,1,1,670,Spain,Female,65,177655,Retired,Short term cust,High earner,Very low balance,High score
105,15613854,107073,2,1,4,1,1,622,Spain,Female,46,30984,Working class,Short term cust,low earner,low balance,Good score
106,15599195,88938,1,1,1,1,0,582,Germany,Male,32,10054,Working class,Short term cust,low earner,low balance,Good score
107,15812878,99806,1,1,2,1,0,785,Germany,Female,36,36976,Working class,Short term cust,low earner,low balance,High score
108,15602312,150092,1,0,5,0,0,605,Spain,Male,33,71862,Working class,Short term cust,Fair earner,low balance,Good score
109,15744689,92833,1,0,9,0,1,479,Germany,Male,35,99449,Working class,Long term cust,Fair earner,low balance,Good score
110,15803526,90536,1,1,3,1,0,685,Germany,Male,30,63082,Working class,Short term cust,Fair earner,low balance,High score
111,15665790,108055,2,0,7,0,0,538,Germany,Male,39,27231,Working class,Long term cust,low earner,low balance,Good score
112,15715951,100238,1,0,2,0,0,562,France,Male,42,86797,Working class,Short term cust,Fair earner,low balance,Good score
113,15591100,106190,1,1,9,1,0,675,Spain,Male,36,22994,Working class,Long term cust,low earner,low balance,High score
114,15609618,154475,2,1,9,1,1,721,Germany,Male,28,101300,Student,Long term cust,High earner,Fair balance,High score
115,15675522,132351,2,1,9,1,0,628,Germany,Female,30,74169,Working class,Long term cust,Fair earner,low balance,Good score
116,15705512,167864,1,0,6,0,0,668,Germany,Female,37,115638,Working class,Long term cust,High earner,Fair balance,High score
117,15698028,0,2,0,1,0,0,506,France,Female,41,31766,Working class,Short term cust,low earner,Very low balance,Good score
118,15661670,107818,1,0,8,0,1,524,Germany,Female,31,199725,Working class,Long term cust,High earner,low balance,Good score
119,15600781,185173,2,0,4,0,0,699,Germany,Male,34,120834,Working class,Short term cust,High earner,Fair balance,High score
120,15682472,129433,2,0,8,0,0,828,France,Male,34,38131,Working class,Long term cust,low earner,low balance,High score
122,15690673,0,2,0,6,0,0,656,France,Female,39,141069,Working class,Long term cust,High earner,Very low balance,High score
123,15760085,126384,1,1,10,1,0,684,Germany,Female,48,198129,Working class,Long term cust,High earner,low balance,High score
124,15779659,0,1,0,3,0,0,625,France,Female,28,183646,Student,Short term cust,High earner,Very low balance,Good score
125,15627360,152603,1,0,9,0,1,432,France,Male,42,110265,Working class,Long term cust,High earner,Fair balance,low score
126,15671137,0,1,1,1,1,1,549,France,Female,52,8636,Working class,Short term cust,low earner,Very low balance,Good score
127,15782688,148507,1,0,0,0,1,625,Germany,Male,56,46824,Working class,Short term cust,low earner,low balance,Good score
128,15575492,0,2,0,7,0,0,828,France,Female,41,171378,Working class,Long term cust,High earner,Very low balance,High score
129,15591607,101827,1,0,9,0,0,770,France,Male,24,167256,Student,Long term cust,High earner,low balance,High score
130,15740404,0,2,1,3,1,0,758,France,Female,34,124226,Working class,Short term cust,High earner,Very low balance,High score
131,15718369,130862,1,1,9,1,0,795,Germany,Female,33,114935,Working class,Long term cust,High earner,low balance,High score
132,15677871,122570,1,1,9,1,0,687,France,Male,38,35608,Working class,Long term cust,low earner,low balance,High score
133,15642004,0,2,1,1,1,0,686,France,Male,25,16459,Student,Short term cust,low earner,Very low balance,High score
134,15712543,124828,2,1,7,1,0,789,Germany,Male,39,124411,Working class,Long term cust,High earner,low balance,High score
135,15584518,144895,2,1,5,1,0,589,Germany,Female,50,34941,Working class,Short term cust,low earner,low balance,Good score
136,15802381,63663,1,1,5,1,0,461,Germany,Female,34,167784,Working class,Short term cust,High earner,low balance,Good score
137,15610156,133463,1,1,2,1,0,637,France,Male,40,93165,Working class,Short term cust,Fair earner,low balance,Good score
138,15594408,213146,1,0,2,0,1,584,Spain,Female,48,75161,Working class,Short term cust,Fair earner,Fair balance,Good score
139,15640905,129490,2,1,1,1,1,579,Spain,Female,35,8590,Working class,Short term cust,low earner,low balance,Good score
140,15698932,137452,1,0,10,0,0,756,Germany,Male,44,189543,Working class,Long term cust,High earner,low balance,High score
141,15724944,0,2,1,7,1,0,663,France,Male,34,180427,Working class,Long term cust,High earner,Very low balance,High score
142,15628145,125851,1,1,5,1,0,682,France,Female,43,193318,Working class,Short term cust,High earner,low balance,High score
143,15713483,0,1,0,2,0,1,793,Spain,Male,52,159123,Working class,Short term cust,High earner,Very low balance,High score
144,15612350,40915,1,0,5,0,1,691,France,Female,31,126213,Working class,Short term cust,High earner,Very low balance,High score
145,15800703,113157,1,1,5,1,0,485,Spain,Female,21,54141,Student,Short term cust,Fair earner,low balance,Good score
146,15705707,138296,2,0,8,0,0,635,Spain,Female,29,141075,Student,Long term cust,High earner,low balance,Good score
147,15754105,106967,1,0,5,0,0,650,France,Male,37,24495,Working class,Short term cust,low earner,low balance,High score
148,15703264,120681,1,0,9,0,0,735,France,Male,44,74836,Working class,Long term cust,Fair earner,low balance,High score
149,15794413,0,2,1,0,1,0,416,France,Male,32,878,Working class,Short term cust,low earner,Very low balance,low score
150,15650237,0,2,0,7,0,0,754,Spain,Female,32,89520,Working class,Long term cust,Fair earner,Very low balance,High score
151,15759618,0,1,0,9,0,1,535,France,Female,48,149892,Working class,Long term cust,High earner,Very low balance,Good score
152,15811589,0,2,0,8,0,0,716,Spain,Male,42,180800,Working class,Long term cust,High earner,Very low balance,High score
153,15689044,127609,1,0,2,0,0,539,France,Male,37,98646,Working class,Short term cust,Fair earner,low balance,Good score
154,15709368,0,2,1,6,1,0,614,France,Female,43,109041,Working class,Long term cust,High earner,Very low balance,Good score
155,15679145,0,1,0,7,0,1,706,Spain,Male,57,17941,Working class,Long term cust,low earner,Very low balance,High score
156,15655007,0,2,0,7,0,0,758,France,Female,33,82996,Working class,Long term cust,Fair earner,Very low balance,High score
157,15623595,0,2,1,2,1,0,586,Spain,Female,28,92067,Student,Short term cust,Fair earner,Very low balance,Good score
158,15589975,97259,1,1,6,1,0,646,France,Female,73,104719,Retired,Long term cust,High earner,low balance,Good score
159,15804017,123246,1,0,4,0,0,631,Germany,Female,33,112687,Working class,Short term cust,High earner,low balance,Good score
160,15692132,101060,1,1,6,1,0,717,Spain,Female,22,84699,Student,Long term cust,Fair earner,low balance,High score
161,15641122,0,2,0,2,0,0,684,France,Male,30,83473,Working class,Short term cust,Fair earner,Very low balance,High score
162,15630910,108007,1,0,7,0,0,800,France,Female,49,47125,Working class,Long term cust,low earner,low balance,High score
163,15680772,0,2,1,2,1,0,721,Spain,Female,36,106977,Working class,Short term cust,High earner,Very low balance,High score
164,15658929,133702,1,0,0,0,1,683,Spain,Male,29,55582,Student,Short term cust,Fair earner,low balance,High score
165,15585388,125189,2,1,9,1,0,660,Germany,Male,31,139874,Working class,Long term cust,High earner,low balance,High score
166,15724623,113034,1,0,7,0,1,704,Germany,Female,24,162503,Student,Long term cust,High earner,low balance,High score
167,15588537,109013,1,0,9,0,0,615,Spain,Female,41,196499,Working class,Long term cust,High earner,low balance,Good score
168,15574692,0,2,0,2,0,1,667,Spain,Female,39,40721,Working class,Short term cust,low earner,Very low balance,High score
169,15611325,57929,2,0,9,0,0,682,Germany,Male,24,53134,Student,Long term cust,Fair earner,low balance,High score
170,15587562,130114,1,0,4,0,0,484,France,Female,29,164017,Student,Short term cust,High earner,low balance,Good score
171,15613172,95826,2,0,5,0,0,628,Germany,Male,27,155996,Student,Short term cust,High earner,low balance,Good score
172,15651022,129608,1,0,10,0,1,480,Germany,Male,44,5472,Working class,Long term cust,low earner,low balance,Good score
173,15586310,169462,1,0,4,0,0,578,France,Male,30,112187,Working class,Short term cust,High earner,Fair balance,Good score
174,15625524,0,2,1,5,1,0,512,France,Male,40,146457,Working class,Short term cust,High earner,Very low balance,Good score
175,15755209,133868,1,1,7,1,0,484,Spain,Female,35,27286,Working class,Long term cust,low earner,low balance,Good score
176,15645248,0,2,1,0,1,0,510,France,Female,30,130553,Working class,Short term cust,High earner,Very low balance,Good score
177,15790355,190479,2,0,5,0,0,606,Germany,Male,36,179351,Working class,Short term cust,High earner,Fair balance,Good score
178,15762615,101993,1,1,8,1,0,597,Spain,Female,40,94774,Working class,Long term cust,Fair earner,low balance,Good score
179,15625426,161608,1,0,3,0,1,754,Germany,Female,55,8080,Working class,Short term cust,low earner,Fair balance,High score
180,15716334,122311,1,1,2,1,0,850,Spain,Female,45,19482,Working class,Short term cust,low earner,low balance,High score
181,15789669,0,2,1,2,1,0,510,France,Male,65,48071,Retired,Short term cust,low earner,Very low balance,Good score
182,15621075,162150,2,0,1,0,0,778,Germany,Female,45,174531,Working class,Short term cust,High earner,Fair balance,High score
183,15810845,0,2,1,2,1,0,636,France,Male,42,55470,Working class,Short term cust,Fair earner,Very low balance,Good score
184,15719377,0,1,1,4,1,1,804,France,Female,50,8546,Working class,Short term cust,low earner,Very low balance,High score
185,15654506,0,2,0,8,0,0,514,France,Male,32,95857,Working class,Long term cust,Fair earner,Very low balance,Good score
186,15771977,99010,1,0,1,0,0,730,France,Female,39,194945,Working class,Short term cust,High earner,low balance,High score
187,15708710,0,1,1,0,1,0,525,Spain,Female,37,131521,Working class,Short term cust,High earner,Very low balance,Good score
188,15726676,0,2,1,5,1,0,616,Spain,Male,30,196108,Working class,Short term cust,High earner,Very low balance,Good score
189,15587421,111388,2,0,7,0,0,687,Germany,Female,34,148564,Working class,Long term cust,High earner,low balance,High score
190,15726931,56214,2,0,8,0,1,715,France,Female,41,92982,Working class,Long term cust,Fair earner,low balance,High score
191,15771086,84327,2,0,3,0,0,512,France,Female,36,17675,Working class,Short term cust,low earner,low balance,Good score
192,15756850,0,2,0,1,0,0,479,France,Male,40,114996,Working class,Short term cust,High earner,Very low balance,Good score
193,15702741,93012,1,0,8,0,0,601,France,Male,32,86957,Working class,Long term cust,Fair earner,low balance,Good score
194,15679200,61710,2,0,9,0,0,580,Spain,Male,29,128077,Student,Long term cust,High earner,low balance,Good score
195,15594815,174790,1,1,3,1,0,807,France,Male,35,600,Working class,Short term cust,low earner,Fair balance,High score
196,15635905,0,2,1,6,1,0,616,Spain,Female,32,43001,Working class,Long term cust,low earner,Very low balance,Good score
197,15777892,107720,1,1,3,1,0,721,Germany,Male,37,158591,Working class,Short term cust,High earner,low balance,High score
198,15656176,0,2,1,10,1,0,501,France,Male,57,47847,Working class,Long term cust,low earner,Very low balance,Good score
199,15811127,96423,1,0,6,0,0,521,France,Male,35,10488,Working class,Long term cust,low earner,low balance,Good score
200,15604482,141040,1,1,2,1,0,850,Spain,Male,30,5978,Working class,Short term cust,low earner,low balance,High score
201,15622911,105420,1,1,4,1,0,759,France,Male,42,121409,Working class,Short term cust,High earner,low balance,High score
202,15600974,0,1,1,5,1,1,516,Spain,Male,50,146145,Working class,Short term cust,High earner,Very low balance,Good score
203,15727868,129022,2,1,2,1,1,711,France,Female,38,14374,Working class,Short term cust,low earner,low balance,High score
204,15627801,176666,1,0,3,0,0,512,Spain,Male,33,94670,Working class,Short term cust,Fair earner,Fair balance,Good score
205,15773039,0,1,1,3,1,0,550,France,Male,37,179670,Working class,Short term cust,High earner,Very low balance,Good score
206,15755262,89763,1,0,3,0,1,608,Spain,Female,41,199304,Working class,Short term cust,High earner,low balance,Good score
207,15679531,134954,1,1,5,1,0,618,France,Male,34,151954,Working class,Short term cust,High earner,low balance,Good score
208,15684181,0,1,0,5,0,1,643,France,Male,45,142513,Working class,Short term cust,High earner,Very low balance,Good score
209,15612087,106376,1,1,2,1,0,671,France,Male,45,158264,Working class,Short term cust,High earner,low balance,High score
210,15752047,161814,2,0,2,0,0,689,Germany,Male,33,169381,Working class,Short term cust,High earner,Fair balance,High score
211,15624592,0,2,1,8,1,0,603,France,Male,31,169915,Working class,Long term cust,High earner,Very low balance,Good score
212,15573152,0,2,0,9,0,0,620,France,Female,41,88852,Working class,Long term cust,Fair earner,Very low balance,Good score
213,15594917,63095,1,1,1,1,0,676,France,Female,34,40645,Working class,Short term cust,low earner,low balance,High score
214,15785542,118287,2,0,4,0,0,572,Germany,Male,26,60427,Student,Short term cust,Fair earner,low balance,Good score
215,15723488,106854,1,1,7,1,1,668,Germany,Male,47,157959,Working class,Long term cust,High earner,low balance,High score
216,15680920,49512,1,0,7,0,0,695,France,Male,46,133007,Working class,Long term cust,High earner,Very low balance,High score
217,15786308,0,2,0,9,0,0,730,Spain,Female,33,176576,Working class,Long term cust,High earner,Very low balance,High score
218,15659366,105799,2,0,1,0,1,807,France,Male,43,34888,Working class,Short term cust,low earner,low balance,High score
219,15774854,0,1,1,8,1,1,592,France,Male,54,28737,Working class,Long term cust,low earner,Very low balance,Good score
220,15725311,114722,2,1,9,1,0,726,France,Female,31,98178,Working class,Long term cust,Fair earner,low balance,High score
221,15787155,0,1,1,7,1,0,514,Spain,Male,30,125010,Working class,Long term cust,High earner,Very low balance,Good score
222,15727829,0,2,1,2,1,0,567,France,Male,42,167984,Working class,Short term cust,High earner,Very low balance,Good score
223,15733247,0,1,0,10,0,1,850,France,Male,33,4861,Working class,Long term cust,low earner,Very low balance,High score
224,15568748,99564,1,1,6,1,1,671,Germany,Male,45,108872,Working class,Long term cust,High earner,low balance,High score
225,15699029,170557,2,0,4,0,0,670,France,Male,37,198252,Working class,Short term cust,High earner,Fair balance,High score
226,15774393,0,2,1,9,1,0,694,France,Female,30,26960,Working class,Long term cust,low earner,Very low balance,High score
227,15676895,74596,3,1,6,1,1,547,Germany,Female,39,85746,Working class,Long term cust,Fair earner,low balance,Good score
228,15637753,96888,1,0,2,0,1,751,Germany,Male,50,77206,Working class,Short term cust,Fair earner,low balance,High score
229,15605461,130830,1,0,3,0,0,594,Germany,Female,29,61048,Student,Short term cust,Fair earner,low balance,Good score
230,15808473,0,2,1,1,1,0,673,France,Male,72,111981,Retired,Short term cust,High earner,Very low balance,High score
231,15627000,0,2,0,0,0,0,610,France,Male,40,62232,Working class,Short term cust,Fair earner,Very low balance,Good score
232,15787174,0,2,1,1,1,0,512,France,Female,37,156105,Working class,Short term cust,High earner,Very low balance,Good score
233,15723886,119714,2,1,3,1,0,767,Germany,Male,20,150135,Student,Short term cust,High earner,low balance,High score
234,15704769,113978,2,1,5,1,0,585,France,Female,67,93146,Retired,Short term cust,Fair earner,low balance,Good score
235,15772896,100160,1,0,6,0,1,763,Germany,Male,42,33462,Working class,Long term cust,low earner,low balance,High score
236,15711540,0,1,1,2,1,0,712,France,Female,29,144375,Student,Short term cust,High earner,Very low balance,High score
237,15764866,116220,3,0,3,0,1,539,Germany,Female,43,55803,Working class,Short term cust,Fair earner,low balance,Good score
238,15794056,0,3,0,2,0,1,668,France,Female,46,89048,Working class,Short term cust,Fair earner,Very low balance,High score
239,15795149,81173,2,1,2,1,0,703,France,Male,28,162812,Student,Short term cust,High earner,low balance,High score
240,15812009,0,2,0,4,0,0,662,Spain,Male,38,136259,Working class,Short term cust,High earner,Very low balance,High score
241,15651001,116803,1,0,5,0,0,725,Germany,Female,39,124052,Working class,Short term cust,High earner,low balance,High score
242,15813844,105961,2,1,8,1,0,703,France,Male,37,74158,Working class,Long term cust,Fair earner,low balance,High score
243,15596175,117411,1,1,6,1,1,659,Germany,Male,67,45071,Retired,Long term cust,low earner,low balance,High score
244,15576269,0,2,0,7,0,0,523,Spain,Male,34,62030,Working class,Long term cust,Fair earner,Very low balance,Good score
245,15797219,123497,1,0,10,0,1,635,France,Female,40,131953,Working class,Long term cust,High earner,low balance,Good score
246,15685500,152400,2,0,7,0,0,772,Germany,Male,26,79414,Student,Long term cust,Fair earner,Fair balance,High score
247,15599792,0,2,1,1,1,0,545,France,Female,26,199638,Student,Short term cust,High earner,Very low balance,Good score
248,15657566,103097,1,1,8,1,0,634,Germany,Male,24,157577,Student,Long term cust,High earner,low balance,Good score
249,15772423,126418,1,0,8,0,1,739,Germany,Male,54,134420,Working class,Long term cust,High earner,low balance,High score
250,15628112,77846,1,0,5,0,0,771,Germany,Female,36,99805,Working class,Short term cust,Fair earner,low balance,High score
251,15753754,0,2,1,1,1,0,587,Spain,Female,34,97932,Working class,Short term cust,Fair earner,Very low balance,Good score
252,15793726,0,2,1,0,1,0,681,France,Female,79,170968,Retired,Short term cust,High earner,Very low balance,High score
253,15694717,79731,1,1,2,1,0,544,Germany,Male,37,57558,Working class,Short term cust,Fair earner,low balance,Good score
254,15665834,0,1,0,8,0,0,696,Spain,Male,28,176713,Student,Long term cust,High earner,Very low balance,High score
255,15765297,0,2,1,0,1,0,766,Spain,Male,41,34283,Working class,Short term cust,low earner,Very low balance,High score
